panelist,W614,W615,W616,W617,W618,W619,W620,W621,W622,W623,W624,W625,W626,W627,W628,W629,W630,W631,W632,W633,W634,W635,W636,W637,W638,W639,W640,W641,W642,W643,W644,W645,W646,W647,W648,W649,W650,W651,W652,W653,W654,W655,W656,W657,W658,W659,W660,W661,W662,W663,W664,W665,W666,W667,W668,W669,W670,W671,W672,W673,W674,W675,W676,W677,W678,W679,W680,W681,W682,W683,W684,W685,W686,W687,W688,W689,W690,W691,W692,W693,W694,W695,W696,W697,W698,W699,W700,W701,W702,W703,W704,W705,W706,W707,W708,W709,W710,W711,W712,W713,W714,W715,W716,W717
14114082,1,2,3,2,2,1,1,1,1,1,2,2,1,1,2,2,2,0,2,2,2,1,2,2,0,1,1,0,1,0,0,1,1,1,1,1,0,1,2,0,1,1,2,1,0,0,0,1,0,1,2,1,0,1,0,1,0,0,0,3,1,1,0,2,0,0,0,2,2,0,0,1,1,1,2,1,0,1,0,0,0,0,0,1,2,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,4
14114090,1,0,1,1,2,1,0,1,1,0,1,1,1,0,1,1,0,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,3,1,0,1,1,1,2,1,1,1,1,1,1,2,1,0,1,0,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,0,1,1,0,1,0,1,0,1,1,1,1,2,2,0,1,1,1,2,1,1,1,0,1,1,1
14114140,2,2,2,1,2,0,2,1,5,1,1,0,3,1,1,3,3,4,2,2,0,3,3,2,2,4,3,3,1,2,2,0,3,1,2,1,1,2,1,2,1,1,3,1,1,1,1,2,1,2,3,3,3,6,1,1,3,0,0,0,4,1,1,1,1,3,0,2,3,3,1,1,2,3,0,3,1,2,1,1,0,1,4,3,1,3,2,2,1,0,1,3,2,2,1,1,4,2,1,3,1,3,5,1
14114439,1,1,2,2,1,0,0,2,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,2,2,0,1,2,2,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,2,2,1,1,0,0,1,0,0,2,0,2,1,0,1,0,0,1,1,0,0,0,0
14115071,2,2,2,2,2,1,2,2,1,0,1,0,1,1,3,2,2,0,1,1,3,1,2,1,0,1,0,2,1,1,1,1,2,0,2,0,1,3,2,1,1,0,2,1,0,3,1,0,3,1,1,0,3,0,2,1,2,1,2,2,3,1,3,1,2,2,2,3,4,1,2,3,1,3,1,0,5,5,3,0,1,0,1,0,0,1,3,2,4,1,2,1,1,0,5,0,2,1,2,2,0,1,5,2
14115188,3,7,4,8,13,10,7,10,14,6,1,5,7,0,2,3,7,3,2,3,3,2,3,8,5,14,6,10,5,5,7,7,3,6,1,4,6,6,7,9,7,6,5,8,7,11,11,10,10,9,7,9,7,10,5,5,8,5,5,9,9,10,8,8,11,6,8,9,6,10,10,11,8,6,10,7,7,4,10,8,6,5,5,3,3,9,8,7,7,6,6,9,8,6,6,7,11,7,7,3,4,6,7,9
14115576,2,2,2,2,2,4,1,3,1,3,0,3,2,0,2,2,2,2,2,1,2,2,2,2,3,2,3,2,3,3,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,2,2,2,2,2,2,2,2,3,2,4,0,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,0,0,3,2,2,3,1,2,3,3,2,4,2,3,2,1,1,2,3
14115741,2,1,1,1,1,1,1,0,2,1,1,1,1,0,1,2,0,1,1,1,1,1,1,0,1,1,0,2,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,0,1,0,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
14115774,6,3,8,3,4,4,4,6,5,8,1,2,2,0,2,3,3,3,4,0,0,1,1,1,0,1,0,2,1,0,0,1,0,1,1,2,1,0,0,0,2,1,1,1,4,1,1,3,2,2,3,1,0,2,0,0,0,1,3,2,2,1,2,0,0,1,2,1,0,1,4,2,0,0,0,1,0,0,3,2,0,1,1,0,2,0,0,1,1,2,2,1,1,2,2,0,3,0,0,0,0,1,0,3
14115816,1,0,1,0,1,0,1,0,1,1,0,1,1,0,4,1,1,0,3,1,2,1,0,1,1,1,0,0,2,1,1,0,1,0,1,0,0,0,0,2,0,0,1,0,2,0,0,1,0,1,0,3,2,2,0,1,3,2,4,2,2,2,2,3,0,3,2,0,1,1,1,2,2,0,0,1,1,0,0,1,1,1,2,0,1,0,0,0,0,1,3,1,1,0,0,2,0,0,1,0,1,0,0,3
14115824,0,1,0,3,1,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,2,1,0,0,1,0,0,0,0,1,1,1,0,0,3,2,1,2,0,2,1,2,1,2,3,4,4,3,2,5,3,2,3,2,3,6,3,3,2,3,2,2,1,0,1,0,2,2,2,1,3,2,1,3,3,1,2,0,2,2,0,4,2,3,5,6,4,6,3,4,4,3,5,6,5,5,4,3,5,5,4,5,5,3
14115873,1,0,1,1,1,1,1,1,1,0,0,0,0,2,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,3,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1
14115881,0,1,2,1,0,3,0,3,4,2,1,2,1,0,5,2,1,2,0,2,0,2,1,1,1,1,1,3,1,1,2,1,2,1,2,3,1,1,3,0,0,2,2,2,2,2,1,0,2,1,2,2,1,7,0,2,3,1,4,2,1,2,4,2,2,2,0,4,1,1,0,2,1,1,0,1,0,0,3,1,2,3,0,1,0,1,0,2,1,0,1,1,1,2,1,0,1,1,0,1,0,0,1,1
14115923,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,1,1,1,0,2,0,1,0,0,3,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1
14116012,0,2,1,0,0,0,1,0,0,1,1,2,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,5,0,0,0,0,2,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,2,0,3,1,3,1,1,1,1,1,3,1,0,1,0,0,0,1,2,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,2,0,1,2,0,1,2,0,0,0,0,0,0,1
14116194,0,0,0,1,0,0,1,1,0,0,1,2,0,2,1,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,2,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,2,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,2,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0
14116459,1,2,1,3,1,2,2,5,1,3,3,0,2,1,0,0,2,4,5,1,1,1,1,1,1,1,2,1,1,2,2,2,3,1,1,2,2,2,4,3,2,4,5,4,4,4,0,4,3,3,3,4,3,6,3,4,3,4,3,6,4,6,3,3,2,2,3,2,5,2,1,1,1,3,1,3,3,6,4,1,4,2,5,0,1,2,4,5,4,4,3,3,0,3,2,2,3,3,2,1,1,2,0,1
14116517,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,2,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,2,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,2,0,1,0,1,0,1,0,0,1,1,0
14116582,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,2,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,2,2,1
14116657,0,5,0,4,1,4,2,3,1,0,0,0,0,2,3,2,3,3,4,1,5,2,1,3,3,2,5,3,2,0,1,7,3,3,2,1,1,3,5,2,2,5,1,2,2,4,3,0,2,3,1,2,2,1,1,0,0,3,0,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,2,0,3,0,1,0,0,0,0,1,2,1,4,3,2,2,1,1,2,4,1,1,3,0,2,0,0,2,0,1
14116798,3,2,2,2,3,1,4,2,3,2,1,2,1,0,2,1,0,2,3,0,2,3,1,1,1,4,1,1,0,4,1,1,1,2,2,2,2,3,0,0,1,1,1,3,3,2,2,0,2,1,3,2,1,1,1,0,0,1,2,1,2,4,3,2,1,2,2,3,1,2,1,2,3,0,4,1,2,1,2,3,2,1,3,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,3,1,2,2,3
14117523,2,2,4,4,2,2,1,3,2,2,0,1,2,2,4,2,1,1,1,2,2,2,4,4,3,4,4,1,1,1,2,3,4,2,3,2,4,5,0,1,5,4,2,2,4,2,4,5,5,2,0,4,5,3,2,4,2,4,2,3,2,3,3,2,3,2,2,2,5,5,7,0,0,1,3,3,5,2,4,3,4,3,3,1,1,4,5,5,4,2,2,2,3,4,3,4,3,4,2,1,2,3,2,3
14117572,0,2,1,3,0,2,1,2,0,0,2,1,1,1,2,0,0,1,1,2,1,1,0,0,1,2,1,1,1,1,1,1,2,0,1,1,1,1,0,2,1,0,0,0,2,1,0,1,1,2,0,0,1,0,0,0,0,1,0,2,1,1,1,1,2,1,1,2,2,2,0,1,1,1,3,3,1,0,1,1,0,0,0,1,1,1,1,1,1,0,2,3,2,1,2,1,3,2,2,1,2,0,0,0
14117655,4,3,1,4,0,1,2,5,2,3,0,1,2,2,1,1,0,5,0,1,0,2,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,4,2,0,2,0,0,1,0,1,0,0,0,0,0,0,2,1,1,2,1,1,4,2,1,2,4,1,1,4,3,4,0,2,3,2,4,2,2,1,2,0,2,1,3,0,1,3,2,3,3,2,2,4,1,2,0,0,2,1,1,3,1
14117838,2,1,2,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,0,1,1,2,1,2,0,1,2,1,1,1,2,1,2,0,0,2,3,1,0,0,0,0,0,2,2,2,1,0,3,2,2,1,2,0,1,0,3,3,1,1,1,1,0,1,1,0,3,1,2,0,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,0,2,1,1,0,1,0,1,1,0
14118174,0,1,1,0,0,1,2,1,1,1,1,0,0,0,1,0,0,1,0,1,2,1,0,3,1,0,1,1,0,0,2,1,1,0,0,2,1,0,1,1,1,1,0,0,2,0,1,1,0,1,0,1,1,0,1,2,0,0,0,0,1,1,1,2,0,1,1,2,1,1,0,0,0,1,0,2,1,1,1,2,1,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,0,0,1,1,0,0,0,2
14118240,1,1,1,0,0,1,1,1,0,1,0,2,0,2,1,1,1,1,2,1,1,2,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,2,1,1,1,0,1,2,1,1,1,1,1,2,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,1,0,1,0,1,0,2,2,0,1,1,0,1,1,0,1,0,0,0,0,1
14118406,1,1,1,0,0,0,0,1,2,2,0,2,1,1,1,2,2,0,1,1,1,0,1,2,3,2,2,1,3,4,3,2,1,2,0,3,2,1,1,3,1,3,2,1,3,3,1,3,3,3,2,3,2,1,1,5,1,0,1,0,2,2,0,1,4,1,2,1,2,0,1,0,0,1,2,1,2,1,2,0,3,1,2,2,2,1,5,2,4,0,2,4,2,1,3,0,3,1,2,0,2,1,0,1
14118729,1,3,2,2,2,1,1,2,3,1,3,2,1,2,0,2,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,2,1,0,1,1,1,0,1,1,1,1,0,1,1,2,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,2,2,1,1,0,1,0,0,1
14118919,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0
14119156,1,1,1,1,0,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,3,2,4,2,1,2,1,2,3,5,1,2,4,1
14119305,0,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,2,1,1,1,0,0,0,1,1,1,1,2,1,1,1,1,1,2,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,0,2,2,2,2,1,2,2,2,0,2,2,3,2,2,1,0,2,1,2
14119347,1,2,3,2,2,1,2,3,0,1,1,0,2,2,2,2,2,1,4,0,0,2,1,1,2,0,1,1,2,1,1,0,0,0,0,2,1,0,3,1,2,0,1,2,0,0,1,0,1,1,0,2,2,1,1,1,0,1,1,1,1,1,0,0,1,1,2,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,3,2,1,1,1,1,1,1,1,1,1,0,3,0,0,1,0,0
14119438,1,2,2,1,0,0,2,0,2,0,1,1,1,2,2,1,3,2,0,1,1,2,1,2,2,2,0,0,1,2,3,2,2,2,1,1,2,4,2,1,2,2,2,4,2,3,3,2,4,2,2,3,5,1,2,2,1,2,0,0,3,2,4,2,2,2,3,3,2,2,2,2,2,1,3,2,4,2,3,3,1,3,2,2,2,2,3,1,2,3,2,3,1,2,3,3,1,3,4,3,2,3,4,1
14119487,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,2,0,1,1,2,0,0,1,2,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,2,1,1,0,0,0,1,0,1
14119560,1,1,2,1,1,0,3,0,0,2,0,1,1,0,1,2,1,4,1,2,1,1,1,1,2,1,2,1,3,3,2,2,3,1,1,1,1,2,1,2,4,1,1,4,0,2,2,2,1,0,1,4,2,1,3,0,3,0,1,0,0,4,1,1,0,1,0,2,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,2,1,1,1,0,1,1,0,3,1,1,1,0,1,1,1,0,0,2
14119651,1,3,3,2,1,4,4,3,3,2,3,2,4,1,4,1,3,0,2,2,1,7,5,3,3,5,2,4,4,6,4,7,5,6,3,6,6,3,7,6,2,1,8,5,4,5,4,6,5,4,5,7,4,6,5,3,5,2,6,2,4,1,3,2,2,1,1,1,5,2,2,0,0,0,0,7,6,5,3,0,3,4,3,6,8,8,5,4,4,2,3,4,0,3,4,3,1,5,2,5,2,4,2,1
14119735,1,1,1,4,3,3,3,3,3,3,3,2,1,2,2,2,1,2,1,2,3,1,3,3,2,2,3,3,2,0,2,2,2,3,2,2,2,4,3,2,1,2,3,4,1,2,2,3,1,2,3,3,2,2,3,1,1,2,2,0,1,1,2,2,1,3,2,0,3,1,0,1,0,2,4,2,2,3,4,1,5,3,3,2,2,2,3,1,3,1,3,1,2,2,3,1,2,3,4,0,1,1,0,2
14120113,1,1,0,2,1,1,1,1,1,1,1,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,2,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,2,1,1,1,0,2,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
14120147,0,0,1,1,1,2,1,0,2,1,2,0,1,1,1,1,1,0,1,1,1,0,1,0,1,2,1,1,2,2,1,2,2,1,1,0,1,2,1,1,1,1,0,1,0,3,1,1,1,1,1,1,1,1,0,0,2,1,1,1,1,2,1,1,2,2,2,2,1,0,1,1,0,1,1,1,1,2,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1
14120329,1,0,0,2,1,1,1,0,1,0,0,0,1,1,0,2,1,1,1,0,1,1,2,2,1,2,1,1,0,1,2,2,1,1,0,0,1,1,1,0,1,1,1,2,1,2,0,3,1,2,2,3,1,1,1,1,1,1,0,1,0,0,1,3,0,1,0,1,2,2,1,0,0,1,0,0,1,2,1,1,1,1,3,0,2,1,1,1,2,1,1,1,1,1,1,2,2,2,0,1,1,1,0,0
14120345,1,0,1,1,1,1,1,1,1,0,1,1,2,1,0,0,0,0,1,1,1,1,1,2,0,1,2,1,1,0,2,1,1,1,0,1,2,1,1,1,2,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,2,1,0,2,1,1,1,1,1,1,1,1,0,2,1,2,1,0,1,0,1,0
14120964,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,2,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0
14121186,1,0,1,0,0,0,0,1,1,0,2,0,3,0,1,1,1,0,3,0,2,0,1,1,0,2,2,1,0,3,0,1,1,0,0,1,2,2,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,2,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,2,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0
14121442,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,2,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
14121772,1,1,1,1,1,1,2,0,3,0,0,0,3,1,1,1,1,3,1,1,0,0,2,2,1,1,1,0,1,1,3,1,1,1,0,1,1,0,1,0,0,0,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,2,2,0,1,1,1,0,1,1,2,0,1,2,0,3,1,1,2,0,0,1,1,0,1,2,0,1,0,1,0,1,0,1,0,0,0,0,0
14122606,3,0,1,1,2,4,2,3,4,3,2,2,0,0,2,3,3,1,2,6,4,5,3,3,4,2,3,4,2,2,4,4,2,2,3,2,2,2,3,2,3,0,1,1,0,1,0,4,4,0,1,2,2,1,3,2,3,1,1,1,2,3,2,0,4,2,0,0,1,4,0,1,2,3,2,2,1,3,3,2,1,3,1,2,1,3,0,2,1,1,1,2,1,4,1,2,2,1,3,4,2,0,3,2
14122770,1,1,1,1,1,1,1,1,2,2,0,0,2,0,1,2,1,2,0,0,0,0,2,1,2,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1
14123026,1,1,0,2,0,0,2,0,1,1,1,0,0,0,1,1,0,2,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,2,0,0,0,1
14123380,4,2,2,0,0,0,3,2,1,5,1,1,2,6,1,3,3,0,0,7,3,3,6,2,6,4,0,3,4,1,3,3,2,3,0,0,3,3,3,0,2,2,6,0,3,2,1,4,3,9,5,5,4,3,3,3,1,3,3,3,3,3,1,5,7,0,4,2,7,4,4,3,5,2,0,2,2,1,2,4,6,2,4,4,2,2,1,5,6,3,7,0,1,3,1,5,1,2,2,4,4,4,4,3
14123422,0,4,0,1,3,1,0,3,2,2,0,0,1,0,2,2,0,0,1,0,2,2,0,1,0,1,2,2,1,1,1,2,1,0,1,1,0,1,3,1,3,0,1,0,2,3,0,2,1,3,1,1,1,2,2,1,2,1,0,3,2,1,3,1,3,1,3,1,2,2,3,2,1,1,0,2,2,1,1,2,3,1,2,1,1,2,2,2,1,1,1,1,3,1,1,4,3,0,2,2,1,3,1,1
14123554,1,1,0,2,1,0,0,0,1,2,0,1,0,0,2,0,2,0,1,1,1,2,0,1,2,0,1,0,2,0,1,0,1,1,0,1,0,0,2,1,1,3,1,1,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,3,1,2,1,1,0,1,0,2,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,2,1,0,0,1,0,1,1,0,1,2,0
14123646,1,5,3,2,3,3,3,2,2,2,3,4,2,0,4,3,2,4,3,1,2,3,3,1,1,2,1,1,2,1,1,0,1,2,1,2,1,0,1,2,0,0,1,1,2,1,0,1,2,0,2,2,3,2,1,1,3,1,1,3,2,2,0,2,2,3,1,0,2,3,3,3,3,2,2,2,3,1,2,2,2,5,2,1,5,1,2,3,2,4,4,2,4,2,5,2,0,1,3,2,1,3,1,3
14123877,2,2,1,2,2,2,2,1,2,2,1,2,2,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,0,2,1,2,0,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,1,2
14124131,1,0,0,0,1,0,2,0,2,2,2,0,2,1,0,0,0,0,1,1,1,1,3,1,0,5,1,1,2,1,1,1,0,0,2,0,1,1,1,0,0,1,2,0,2,3,2,2,1,3,1,2,1,2,2,2,1,1,0,1,0,1,2,2,4,1,0,3,2,5,2,5,3,3,3,1,2,0,0,1,1,3,2,2,1,2,2,1,1,1,2,1,2,1,1,2,3,1,3,2,1,3,2,0
14124420,3,4,3,1,1,1,2,1,2,2,1,3,0,2,3,2,3,3,2,1,2,1,1,2,1,1,2,0,1,1,1,2,2,0,1,1,3,1,3,1,0,1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,0,1,2,1,1,0,2,1,2,1,2,1,1,1,1,2,1,3,2,1,1,1,2,1,2,2,3,2,2,2,2,2,1,2,1,1,1,2,1,0,2,2,1
14124487,1,2,1,1,2,3,2,1,2,1,2,1,1,0,1,1,3,2,1,2,1,0,1,1,0,1,0,2,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,2,1,1,1,2,2,1,1,2,1,1,2,1,0,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1
14124545,0,3,1,3,2,2,1,1,1,0,1,1,0,1,1,2,0,0,0,1,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,1,1,1,2,1,2,1,1,2,2,0,0,0,0,1,0,0,1,0,1,0,1,2,0,1,3,0,0,0,1,0,1,0,0,1,1,1,2,2,1,0,3,1,3,0,0,3,2,1,3,2,0,1,0,0,1,1,1
14124578,0,0,1,2,0,0,0,1,0,2,0,2,0,1,0,3,2,1,1,1,1,1,1,1,0,3,1,3,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,2,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,2,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,2
14125039,2,2,2,1,1,1,1,0,1,2,1,0,3,2,0,2,1,3,2,1,0,1,0,1,0,1,2,1,1,0,0,2,1,1,2,1,2,0,2,2,2,1,2,2,0,0,0,1,1,2,1,1,1,1,1,1,2,1,2,0,3,0,0,0,1,2,2,0,1,1,1,1,1,0,1,1,0,0,3,1,0,0,0,2,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,2,2,3,2
14125054,0,4,1,1,1,2,3,4,3,0,0,3,0,0,1,2,2,1,3,2,1,2,2,3,2,3,1,0,2,1,2,3,2,2,1,3,2,1,2,4,2,1,4,4,1,1,2,3,2,2,2,2,4,0,2,3,1,3,2,1,0,3,4,2,3,2,4,3,3,5,0,1,3,5,2,3,1,3,4,0,0,0,0,0,0,2,3,3,3,1,1,4,1,3,1,4,5,2,4,3,2,2,0,2
14125187,3,3,4,3,1,3,2,2,2,0,2,0,1,1,2,1,1,2,6,2,2,2,1,2,4,0,2,1,2,3,3,2,1,0,2,3,3,4,2,2,2,2,4,3,3,2,1,3,3,2,2,2,5,3,2,4,6,2,4,2,3,4,3,4,4,2,1,3,1,3,1,4,6,2,4,4,5,3,3,2,0,0,0,1,0,3,5,3,2,2,5,3,2,1,2,4,3,3,2,2,4,3,3,3
14125575,1,1,2,2,3,1,2,3,2,2,2,2,1,1,1,2,0,0,2,1,2,3,1,0,2,0,2,2,2,1,2,2,1,2,3,5,2,2,2,3,2,2,2,2,1,2,0,0,2,2,3,1,3,3,2,2,2,2,2,1,3,2,1,0,0,2,1,2,2,4,1,0,2,0,2,2,2,0,2,2,1,0,1,0,0,1,2,3,0,1,1,4,1,0,2,1,2,3,2,1,2,1,3,2
14125831,1,0,4,0,0,2,1,4,2,1,1,3,0,1,1,1,3,0,1,1,3,2,2,0,1,5,0,0,3,2,1,0,0,0,1,0,3,5,1,0,1,4,1,2,2,4,1,2,1,2,1,3,1,0,2,1,2,3,4,2,2,1,5,1,1,0,3,2,0,2,5,1,1,3,3,0,2,1,0,1,4,0,1,2,3,4,1,4,4,0,3,2,2,4,2,2,2,2,1,5,3,1,0,3
